,c1,c2,t1,t2
YAL001C,5.6721639180409795,3.1424287856071964,3.187406296851574,3.1399300349825086
YAL002W,10.38680659670165,5.235382308845577,8.499750124937531,6.000499750124938
YAL003W,38.645177411294355,40.978510744627684,38.24887556221889,37.30684657671164
YAL005C,5.2653673163418295,3.374312843578211,3.944527736131934,3.7286356821589206
YAL007C,5.124437781109445,3.261369315342329,4.4677661169415295,3.708645677161419
YAL008W,4.237381309345327,2.970014992503748,3.2748625687156423,3.2218890554722637
YAL009W,4.64167916041979,3.8065967016491755,4.927536231884058,4.375812093953024
YAL010C,3.0804597701149423,2.7461269365317342,3.4772613693153422,3.630184907546227
YAL011W,5.80359820089955,4.578210894552724,6.811094452773613,4.755622188905547
YAL012W,7.028985507246377,8.352823588205897,13.415292353823089,10.64367816091954
YAL013W,6.367816091954023,7.4277861069465265,8.714142928535733,8.530734632683659
YAL014C,6.422288855572214,7.099950024987506,9.426286856571714,7.938030984507746
YAL016W,7.278360819590205,8.615192403798101,8.956521739130435,10.658670664667666
YAL017W,4.418290854572714,2.825087456271864,3.340329835082459,3.2028985507246377
YAL019W,6.420289855072464,5.893053473263368,6.453273363318341,6.489755122438781
YAL020C,6.941529235382309,5.930534732633683,5.381809095452274,6.366816591704148
YAL021C,5.810594702648675,6.978510744627686,7.7456271864067965,6.972513743128435
YAL022C,4.952523738130934,5.061969015492254,4.932033983008496,5.2063968015992
YAL023C,7.953023488255872,8.3928035982009,7.813093453273363,7.321339330334832
YAL024C,3.476761619190405,2.0684657671164417,2.531734132933533,1.9155422288855573
YAL025C,10.290854572713643,9.243378310844578,9.741129435282359,10.064967516241879
YAL026C,6.8320839580209896,4.5812093953023485,5.840579710144928,5.807096451774113
YAL027W,3.889055472263868,2.341829085457271,3.659170414792604,2.872063968015992
YAL028W,2.893053473263368,1.9620189905047476,2.913543228385807,2.9305347326336832
YAL029C,4.689655172413793,3.6901549225387305,5.219390304847576,3.543728135932034
YAL030W,3.8290854572713644,2.058470764617691,2.604697651174413,2.3938030984507748
YAL031C,4.321339330334832,4.5012493753123435,4.2388805597201396,4.380809595202399
YAL032C,3.4832583708145926,3.5417291354322837,3.7201399300349824,3.3533233383308345
YAL033W,5.594702648675662,4.917041479260369,4.9300349825087455,4.240379810094953
YAL034W-A,4.4212893553223385,2.4397801099450276,3.2018990504747626,2.762618690654673
YAL035W,12.393303348325837,12.306346826586706,15.120439780109946,13.695652173913043
YAL036C,12.485257371314344,10.555222388805598,11.649175412293854,10.249375312343828
YAL038W,65.00499750124938,77.08145927036482,91.3343328335832,116.13543228385807
YAL039C,7.4922538730634685,6.3168415792103945,7.403798100949525,6.242378810594703
YAL040C,10.377311344327836,12.367816091954023,18.604197901049474,12.81159420289855
YAL041W,9.39080459770115,8.874062968515743,7.712143928035982,6.983008495752124
YAL042W,7.296351824087956,7.266866566716642,8.574212893553224,7.377311344327836
YAL043C,6.5877061469265366,4.802598700649675,6.262868565717142,5.392303848075962
YAL044C,6.079460269865067,6.197901049475262,4.772113943028486,5.262868565717142
YAL044W-A,5.296851574212893,4.576711644177911,5.495252373813093,5.657671164417791
YAL046C,4.634682658670664,4.057471264367816,5.64567716141929,4.699150424787606
YAL048C,2.743128435782109,3.660669665167416,3.8555722138930535,3.350824587706147
YAL049C,4.288855572213893,3.6146926536731634,3.3193403298350823,3.2753623188405796
YAL053W,3.9630184907546226,3.0344827586206895,3.9655172413793105,3.5347326336831584
YAL055W,5.521739130434782,3.569215392303848,4.871564217891055,4.943528235882059
YAL056W,3.6316841579210393,4.573713143428286,4.308345827086457,5.162918540729635
YAL058W,5.399800099950025,3.474262868565717,3.526736631684158,3.738630684657671
YAL059W,9.75512243878061,8.24487756121939,8.071464267866068,8.072463768115941
YAL060W,4.930534732633683,4.182408795602199,4.934032983508246,4.609195402298851
YAL061W,3.0324837581209394,2.0859570214892553,2.8755622188905545,3.026986506746627
YAL062W,5.458770614692654,4.401299350324837,5.124437781109445,5.053973013493254
YAL063C,2.3353323338330836,1.223888055972014,1.142928535732134,1.488255872063968
YAL067C,1.8745627186406797,0.6866566716641679,1.4847576211894054,1.4842578710644678
YAR002C-A,5.308345827086457,5.336831584207896,5.55872063968016,4.593703148425787
YAR002W,4.740129935032484,4.253873063468266,5.139930034982509,4.960019990004998
YAR003W,3.783608195902049,3.2978510744627685,3.810094952523738,2.653673163418291
YAR007C,4.168915542228886,2.7556221889055474,3.9865067466266866,3.4547726136931534
YAR008W,3.5072463768115942,2.6186906546726636,2.632183908045977,2.105947026486757
YAR014C,8.021989005497252,7.195902048975512,7.700149925037481,5.897051474262868
YAR015W,6.557221389305347,5.628685657171414,5.094952523738131,6.353323338330835
YAR018C,3.3283358320839582,3.51824087956022,4.312343828085957,3.7541229385307346
YAR027W,4.268365817091454,4.276361819090455,4.351324337831085,5.4632683658170915
YAR028W,4.297351324337831,4.153423288355822,4.763618190904547,6.366816591704148
YAR031W,2.609695152423788,2.1399300349825086,2.002998500749625,2.9160419790104948
YAR033W,4.311344327836082,2.6691654172913544,3.5092453773113443,3.075462268865567
YAR042W,5.316341829085458,6.979510244877561,8.64567716141929,8.026986506746626
YAR066W,4.67816091954023,4.352823588205897,4.151424287856072,4.050974512743628
YAR071W,22.34832583708146,18.210894552723637,13.082458770614693,21.38230884557721
YBL001C,15.822588705647176,8.735632183908047,12.082458770614693,11.844577711144428
YBL002W,30.30184907546227,37.23088455772114,54.68665667166417,45.849075462268864
YBL003C,41.64767616191904,36.564217891054476,56.15692153923038,46.904047976011995
YBL004W,6.349325337331335,5.500749625187407,6.099450274862568,5.162918540729635
YBL005W,3.3533233383308345,2.421789105447276,3.2458770614692654,3.451274362818591
YBL006C,8.819590204897551,7.477261369315342,7.833583208395802,7.259870064967516
YBL009W,3.2583708145927037,2.9335332333833084,2.4047976011994003,2.6936531734132934
YBL010C,3.555722138930535,2.63568215892054,3.4127936031984007,2.2433783108445775
YBL011W,5.340329835082459,6.96151924037981,7.975012493753123,6.184407796101949
YBL013W,4.103948025987006,2.1709145427286356,2.3098450774612695,2.6636681659170414
YBL014C,4.8610694652673665,4.412793603198401,5.560219890054973,4.375312343828086
YBL015W,3.917541229385307,2.3008495752123936,3.050974512743628,3.1989005497251375
YBL016W,7.579710144927536,7.64367816091954,8.213893053473264,7.438280859570215
YBL017C,7.304847576211894,5.31784107946027,7.8120939530234885,6.9855072463768115
YBL018C,6.168415792103948,3.705647176411794,4.948025987006496,4.462268865567216
YBL019W,3.770614692653673,2.9590204897551224,2.8285857071464267,3.157421289355322
YBL020W,5.943028485757122,5.20039980009995,5.172913543228386,4.313343328335832
YBL021C,6.646176911544228,5.026486756621689,5.2433783108445775,6.785107446276862
YBL022C,5.477261369315342,4.872063968015992,6.638680659670165,6.2988505747126435
YBL023C,5.254872563718141,3.7171414292853573,4.5322338830584705,4.634682658670664
YBL024W,7.201899050474762,6.877561219390305,7.539730134932534,6.092453773113443
YBL025W,5.849575212393803,3.911544227886057,5.563218390804598,5.263868065967016
YBL026W,6.464267866066966,4.835082458770614,5.56671664167916,4.830584707646177
YBL027W,21.20989505247376,26.300849575212393,29.707146426786608,28.338830584707647
YBL028C,9.089955022488756,10.515742128935532,10.326836581709145,11.401299350324837
YBL029C-A,6.703148425787107,4.690654672663668,6.10944527736132,5.903048475762119
YBL030C,9.055472263868065,6.982508745627187,8.253873063468266,7.607196401799101
YBL031W,2.8015992003998003,1.5932033983008496,1.631184407796102,1.8575712143928036
YBL032W,5.4322838580709645,4.035982008995502,5.252873563218391,4.48575712143928
YBL033C,10.451274362818591,10.100449775112443,9.262868565717142,7.709645177411295
YBL034C,3.7256371814092955,2.316341829085457,2.713143428285857,2.3758120939530234
YBL035C,2.9045477261369315,2.077961019490255,2.8450774612693652,2.182908545727136
YBL036C,4.428285857071464,4.008995502248876,4.015992003998001,4.199400299850075
YBL037W,4.030484757621189,3.79960019990005,4.459270364817591,3.5087456271864066
YBL038W,5.413793103448276,4.613193403298351,6.033983008495752,4.489755122438781
YBL039C,8.320839580209896,7.706646676661669,7.351324337831085,6.667166416791604
YBL039W-B,3.6736631684157923,2.5072463768115942,3.08095952023988,3.1964017991004496
YBL040C,6.097451274362818,6.500749625187407,6.175912043978011,6.122938530734633
YBL041W,12.651174412793603,11.21639180409795,13.709145427286357,12.210894552723639
