"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YKR042W",-1.96064195450224,9.91547936730491,-18.5104195739772,1.6623348779944e-20,8.65245303996085e-17,36.0039036132642
"YOL109W",-1.4072288607512,10.2959176725732,-16.5122395207103,7.74782340421511e-19,2.01637104094698e-15,32.4218719105595
"YLR300W",-1.55761380348675,9.14139842535638,-14.2120498607095,1.02669035004496e-16,1.781307757328e-13,27.8229251566976
"YEL040W",-1.25361572920232,8.75148405712069,-13.0874292544198,1.37536349082167e-15,1.7896917424317e-12,25.3341035805937
"YMR122W-A",-1.5914385685854,9.76680916860303,-12.3712987247045,7.75357223818706e-15,8.07146869995273e-12,23.6689395042569
"YGR234W",-1.23429064343087,8.59315857803414,-11.8918189611276,2.55612490233128e-14,2.21743835277239e-11,22.5072455422318
"YGL008C",-1.19512789290851,10.2851577913224,-11.8091451839511,3.14897835753331e-14,2.34149033585156e-11,22.3032852370856
"YJL133C-A",-1.41537090587429,8.71716841903554,-11.3035202685539,1.14913064075495e-13,7.47653123141188e-11,21.0494446970259
"YDL037C",-1.25355374666286,7.85444825778115,-10.8412600412448,3.86186611314132e-13,2.17920106517879e-10,19.8356038378672
"YHR215W",-0.960406190590817,8.70555171366851,-10.7969388040052,4.34411401211521e-13,2.17920106517879e-10,19.761180302111
"YLR304C",-1.79686384629172,8.11678460267759,-10.7720812196179,4.64099797192931e-13,2.17920106517879e-10,19.6617207224854
"YNL037C",-1.57783334833181,8.90784226872286,-10.7422968394217,5.02409467476377e-13,2.17920106517879e-10,19.6150181466416
"YHR216W",-0.86838467627646,9.38100737263439,-10.5357938039696,8.73497656280412e-13,3.49735023149196e-10,19.0823062946407
"YHR094C",-0.955809952362151,10.0783784222546,-10.4842806927311,1.00359241920904e-12,3.7312132442736e-10,18.9422138505273
"YAR071W",-0.95287820981766,8.31384968759117,-9.9175409519926,4.72971668840174e-12,1.6412116908754e-09,17.426034594285
"YNL327W",-1.17217532957953,8.96866372700333,-9.74153736169402,7.71999209050459e-12,2.51140992694228e-09,16.9487881531842
"YOR315W",-1.06589980226673,8.23050101857311,-9.50884969296817,1.48455706655436e-11,4.4498554314824e-09,16.3077846808641
"YDL055C",-0.795361090288625,9.91518061930745,-9.49613814266673,1.53885490425904e-11,4.4498554314824e-09,16.2729809868657
