"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YOR374W",-2.26471233268859,8.54937819649306,-11.4524650502274,1.01056757153927e-22,5.26000420986188e-19,40.6185055481121
"YGR243W",-1.93073828178911,8.01527040773957,-9.64648069592897,9.63290339223076e-18,2.50696310782805e-14,29.5960385582817
"YKL095W",-2.10704243476953,7.61399583727369,-9.34971450847819,6.07889522152878e-17,1.05468832093524e-13,27.6652488475069
"YGR052W",-1.60753727802858,8.11312195369895,-8.35485930689396,2.55854688268632e-14,3.32930913109558e-11,22.0345005079878
"YDR384C",-1.55609417889164,8.3225991193186,-8.22089855761068,5.66589879854784e-14,5.8982006492883e-11,21.268881569038
"YJR073C",-1.70770000588628,7.56842973619365,-7.94079273727742,2.93773948581531e-13,2.54848900394478e-10,19.6295454103297
"YGR032W",-1.46811442800492,7.9407958699838,-7.85313181053757,4.89313965520542e-13,3.6383988436206e-10,19.189886115087
"YKL096W-A",-1.63267340476927,9.4731242496935,-7.77789046006485,7.56714203638521e-13,4.92337178742313e-10,18.7270720079328
"YOR247W",-1.43661923966215,7.84819110775609,-7.58674895565122,2.27161975107361e-12,1.31375342270424e-09,17.7100140793004
"YDR497C",-1.51948107196706,9.13766833781802,-7.53296024511892,3.08830359340939e-12,1.60746202036959e-09,17.3976220900667
"YOR062C",-1.44518847645739,8.77168616215667,-7.48931990962481,3.959315083412e-12,1.87347590992359e-09,17.1709348003335
"YGR035C",-1.42672756720205,8.48224520018561,-7.47037989885946,4.4091940883496e-12,1.91248793582164e-09,17.0720052261071
"YFR053C",-1.47058629162959,7.93665827120214,-7.41218465416467,6.13234685036362e-12,2.4552973350879e-09,16.755160221036
"YOL136C",-1.35910225533822,8.59063378309291,-7.20449167974982,1.97059083591472e-11,7.32637521495439e-09,15.6309041363658
"YKL096W",-1.44359320850402,7.52262500394972,-7.15332342995646,2.62075254557948e-11,9.0940113331608e-09,15.3491637936758
"YER145C",-1.31436588510373,8.30007329531458,-7.13522816100546,2.89810225275173e-11,9.35629409063104e-09,15.2605620486249
"YDR496C",-1.38205902399521,8.80743392275283,-7.12568495058118,3.05585013526854e-11,9.35629409063104e-09,15.2075814581991
"YKL068W-A",-1.49524478159578,9.52858396689965,-7.04837836383454,4.68848097018111e-11,1.35575241387737e-08,14.7820210160924
"YER177W",-1.29170459266965,8.69943976998739,-6.75289194427758,2.35520411823227e-10,6.45201970284157e-08,13.2480928646486
"YJR072C",-1.21651033766426,8.14108174855213,-6.7187823244688,2.83099522789832e-10,7.36766508060537e-08,13.0668215972449
"YBR132C",-1.26731237355664,7.5174700326671,-6.49748356401068,9.22754030440303e-10,2.20023954901215e-07,11.9408284879525
"YBR105C",-1.21419979738442,7.68898222011098,-6.49600978750549,9.29976370379775e-10,2.20023954901215e-07,11.9287332035574
"YEL034W",-1.34643188640009,9.48022981112042,-6.39446024909621,1.58764264120205e-09,3.59290432498116e-07,11.4243042370746
"YGL037C",-1.52848999989296,7.11809154462794,-6.37054301399502,1.79954580550724e-09,3.90276496569382e-07,11.2850232177836
"YBL042C",-1.23809807113784,9.00477999756519,-6.24365996399944,3.48242591048534e-09,7.25041074563048e-07,10.672463059397
"YMR307W",-1.22353654573265,8.990939908829,-6.19651492529253,4.44196942905887e-09,8.89248110701978e-07,10.4398130171148
"YKL178C",-1.17919636057157,8.70664639065987,-6.17579974814941,4.94163336173215e-09,9.52637098067254e-07,10.3319538251828
"YPL004C",-1.12490903119509,7.7482854559384,-6.15418332839522,5.52184118194066e-09,1.02647083400004e-06,10.2163347612409
"YCL064C",-1.1060297937484,8.42546601193337,-5.99631017949302,1.23367047221865e-08,2.14849936731615e-06,9.44882803267928
"YMR292W",-1.07870529314251,7.88583360031199,-5.99556435480089,1.23832816560008e-08,2.14849936731615e-06,9.43716014037444
"YDR275W",-1.08753812091955,7.7302950941535,-5.94870557088381,1.56825247208071e-08,2.63314648941294e-06,9.21637513793417
"YGL254W",-1.3173737527302,10.0069309759565,-5.90668842712697,1.93636704040903e-08,3.14962201416531e-06,9.04887386884207
"YBR078W",-1.20010144333327,9.19982806707512,-5.88931504295278,2.11220984602574e-08,3.33153098441332e-06,8.95740740640732
"YDR155C",-1.10658620052901,7.61015397472772,-5.86344271689631,2.40341555139919e-08,3.67934645442141e-06,8.81459216154628
"YKL182W",-1.12018407496619,8.77097905620321,-5.82877600328312,2.8559637150064e-08,4.24722603903094e-06,8.65765200669258
"YOR317W",-1.04990825811842,8.11334429291787,-5.81920681948183,2.99493004807868e-08,4.33016969451376e-06,8.59142396669171
"YLR437C",-1.11676061829227,7.43502877241603,-5.73878869885738,4.45628567673309e-08,6.26890998578264e-06,8.23737127263407
"YBR084W",-1.04635158816683,7.72674950440309,-5.72867132908673,4.68362034534861e-08,6.41532734145776e-06,8.16777208363121
