"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YHR094C",-1.90340271665206,9.23310103623689,-19.2405387028619,2.6158571808893e-20,1.36155366265288e-16,35.8530437315801
"YKL096W-A",-1.86952769776852,9.55462932248069,-17.5168646930992,5.30724341226493e-19,1.03433843159301e-15,33.0353313627223
"YOL109W",-1.82627925470594,10.7659548983683,-17.4528864263145,5.96160479304327e-19,1.03433843159301e-15,32.9505137993489
"YMR122W-A",-1.87949733103508,9.6648887066919,-16.6835714066861,2.4793469646788e-18,3.22625023778829e-15,31.5680093683424
"YOL086W-A",-1.4636477168779,10.157377229701,-16.1627554837504,6.70165966095922e-18,6.00253603442658e-15,30.6270557996216
"YOL086C",-1.56985576596514,9.9888428157363,-16.146223486627,6.9193498955926e-18,6.00253603442658e-15,30.5933219737074
"YDR345C",-1.6975663835204,10.9432585087662,-15.312822732715,3.58411456915019e-17,2.66504519034668e-14,29.0098587633195
"YHR216W",-1.19645504718261,8.83510285904437,-13.5303402029608,1.52728127666475e-15,9.30576781391171e-13,25.3403351645752
"YKR042W",-1.35658141015637,9.30844979450556,-13.5066480748552,1.60906648079165e-15,9.30576781391171e-13,25.2998316056388
"YLR413W",-1.06074140434357,8.98246453088337,-12.5699051861242,1.33230866107555e-14,6.93466658089822e-12,23.2304275132217
"YLR300W",-1.19071038673897,7.91665776191637,-12.3852836686294,2.04548515514395e-14,9.67886384774931e-12,22.770462557522
"YGL208W",-1.07828987301763,9.44873545979578,-11.721269936413,9.89200702784498e-14,4.29065804832776e-11,21.2657759924096
"YLR044C",-1.04655573520673,9.31153093084367,-11.3596055375744,2.38820817720229e-13,9.56201812487532e-11,20.3979137178302
"YPR035W",-0.990520157570388,9.61948691882393,-11.1320360136069,4.19381495249744e-13,1.55920048769637e-10,19.842687012109
"YPL265W",-0.945982478170949,10.2498260065329,-10.8607678982171,8.27666752846733e-13,2.87200363237816e-10,19.1709287877451
"YBR157C",-0.923248494859377,8.82603991622949,-10.505049001355,2.04767054519073e-12,6.66132824232359e-10,18.2810077521343
"YJL130C",-1.13649922925062,8.32749731075092,-10.462782721893,2.28285226466721e-12,6.98955649270166e-10,18.1767574706395
"YCL064C",-1.14129725508191,8.12933770525974,-10.392360406538,2.73762662176162e-12,7.91630364792736e-10,17.9984104014113
"YOL087C",-1.18658090236105,8.01631111742259,-10.3549781937394,3.01556488247455e-12,8.26106063856844e-10,17.903106204053
"YKL095W",-1.25621413900958,6.8728583495714,-10.3307272024125,3.21110176761089e-12,8.35689235020733e-10,17.7697570265111
"YKL178C",-0.945195265349466,9.18190157973947,-10.2901936845822,3.56725107603499e-12,8.84168659560102e-10,17.7303803812931
"YGR234W",-1.06094835673302,7.33679876607792,-10.1482481800603,5.16457188133966e-12,1.2218907564715e-09,17.3612351833156
