,c1,c2,c3,c4,c5,t1,t2,t3,t4,t5,t6
YAL001C,1.2563718140929536,1.8605697151424287,1.7406296851574212,1.27936031984008,1.5602198900549724,2.081959020489755,1.1724137931034482,1.2413793103448276,1.6251874062968517,1.497751124437781,1.527736131934033
YAL002W,5.8500749625187405,5.606696651674163,5.604697651174413,7.458770614692654,8.055972013993003,12.828585707146427,11.454772613693153,7.985007496251874,11.452273863068466,7.568215892053973,10.775112443778111
YAL003W,14.497751124437782,18.71214392803598,16.391304347826086,16.748625687156423,15.258370814592704,12.547726136931534,15.721139430284857,13.5872063968016,12.56871564217891,11.73663168415792,14.90704647676162
YAL005C,1.687656171914043,1.8030984507746126,1.9900049975012495,1.8255872063968015,2.073463268365817,2.1794102948525738,3.1744127936031985,2.623688155922039,2.2498750624687656,1.9740129935032484,2.3333333333333335
YAL007C,1.987006496751624,2.9160419790104948,2.4357821089455274,1.9225387306346826,3.1449275362318843,2.304847576211894,2.129935032483758,2.8800599700149925,2.3323338330834584,2.616191904047976,3.2543728135932035
YAL008W,1.5647176411794104,1.7421289355322338,1.8270864567716143,1.9705147426286858,2.0839580209895052,2.1134432783608195,1.631184407796102,2.052473763118441,2.4952523738130936,2.269865067466267,3.1469265367316344
YAL009W,2.1474262868565717,3.0599700149925035,2.5397301349325336,2.272863568215892,2.363318340829585,2.5377311344327835,3.234382808595702,2.3973013493253372,2.455272363818091,2.744127936031984,2.9090454772613694
YAL010C,1.5697151424287856,1.9785107446276862,2.1184407796101947,1.658670664667666,1.952023988005997,1.3318340829585207,2.1969015492253874,1.7301349325337332,1.8675662168915543,1.2253873063468266,1.9365317341329336
YAL011W,3.295352323838081,3.1784107946026987,3.1839080459770117,4.087456271864068,4.8410794602698655,6.3233383308345825,7.679160419790105,6.486756621689155,5.72463768115942,5.618690654672664,6.0254872563718145
YAL012W,5.168915542228886,5.872063968015992,4.613693153423289,7.623688155922039,5.117941029485257,6.497251374312843,7.404297851074463,5.919540229885057,5.63168415792104,5.2898550724637685,5.991004497751124
YAL013W,2.7511244377811095,2.879560219890055,3.23888055972014,3.2988505747126435,2.5377311344327835,3.0974512743628186,3.9695152423788107,3.573713143428286,2.997501249375312,2.814592703648176,3.681159420289855
YAL014C,2.845577211394303,3.2253873063468266,3.5382308845577213,2.5072463768115942,2.7661169415292353,3.0749625187406298,3.71464267866067,3.706646676661669,3.0474762618690656,2.76511744127936,3.6101949025487254
