,c1,c2,c3,c4,c5,c6,t1,t2,t3,t4,t5,t6
YAL001C,2.186906546726637,2.3798100949525236,1.6186906546726636,1.488255872063968,1.6246876561719141,1.6436781609195403,2.125937031484258,1.9280359820089954,1.7046476761619191,2.106446776611694,1.6521739130434783,2.3908045977011496
YAL002W,6.531234382808596,7.632683658170914,8.570214892553723,7.622188905547226,8.188905547226387,7.9300349825087455,5.141429285357321,6.424287856071964,6.502748625687157,5.646676661669165,5.79160419790105,6.287856071964018
YAL003W,9.818090954522738,11.72263868065967,12.229885057471265,8.450774612693653,9.630684657671164,9.219390304847575,8.713143428285857,8.402298850574713,6.913043478260869,6.8500749625187405,7.414792603698151,6.922538730634683
YAL005C,1.7116441779110445,2.1029485257371316,1.934032983508246,1.6201899050474762,1.9090454772613694,1.96151924037981,2.7001499250374814,2.1954022988505746,1.9805097451274363,2.3353323338330836,2.1434282858570715,2.4917541229385307
YAL007C,2.787606196901549,2.2583708145927037,2.129935032483758,2.1184407796101947,2.7561219390304847,1.7076461769115443,2.430784607696152,2.7806096951524237,2.3993003498250873,2.5897051474262867,2.5217391304347827,2.6361819090454772
YAL008W,3.101949025487256,1.7951024487756122,1.9525237381309346,2.1934032983508245,1.944527736131934,2.0939530234882557,1.735632183908046,2.464767616191904,2.550724637681159,2.0474762618690656,2.2883558220889557,2.7841079460269866
YAL009W,2.762118940529735,2.3993003498250873,2.834582708645677,2.921539230384808,2.598200899550225,1.9065467266366816,2.553723138430785,2.5857071464267865,1.9885057471264367,2.937031484257871,2.5047476261869064,2.788105947026487
YAL010C,1.920039980009995,1.7446276861569214,1.4687656171914043,1.2693653173413293,1.7051474262868567,1.472263868065967,2.075462268865567,1.7126436781609196,1.584207896051974,2.23688155922039,1.9275362318840579,1.6656671664167917
YAL011W,6.706146926536731,7.202898550724638,6.420289855072464,6.932033983008496,5.51824087956022,7.463768115942029,7.225387306346827,6.8990504747626185,6.9500249875062465,6.951024487756122,7.291854072963519,7.834582708645677
YAL012W,6.0899550224887555,6.901549225387306,8.258870564717641,5.436281859070465,5.5257371314342825,5.2298850574712645,7.47176411794103,6.434782608695652,6.1699150424787605,5.182908545727137,6.623688155922039,6.372813593203398
YAL013W,4.392303848075962,3.0879560219890054,3.9940029985007497,3.466766616691654,3.1029485257371316,3.2498750624687656,5.31984007996002,3.886056971514243,3.622688655672164,4.876061969015492,5.084457771114443,4.162418790604698
YAL014C,3.0899550224887555,2.3608195902048976,3.604197901049475,2.7276361819090456,3.166416791604198,2.286856571714143,3.820089955022489,3.2553723138430786,2.5572213893053473,3.8480759620189904,3.3938030984507748,3.096951524237881
YAL016W,4.8655672163918045,3.550724637681159,4.31584207896052,4.839080459770115,4.313343328335832,4.007496251874063,4.591204397801099,4.529735132433783,4.146926536731634,4.121939030484757,4.468765617191404,4.361819090454772
YAL017W,1.79960019990005,1.6386806596701649,2.31984007996002,1.7221389305347325,1.7336331834082959,1.359320339830085,1.6516741629185407,1.9555222388805598,1.3258370814592704,1.4312843578210894,1.9245377311344327,1.3973013493253372
YAL019W,4.186406796601699,2.808095952023988,4.401799100449775,3.496751624187906,3.815592203898051,3.1774112943528237,4.48575712143928,4.142928535732134,3.582208895552224,3.561719140429785,2.730134932533733,3.4082958520739632
YAL020C,3.6551724137931036,3.364817591204398,3.834582708645677,3.822088955522239,3.8460769615192403,3.3758120939530234,3.84007996001999,3.6241879060469766,3.8735632183908044,4.548725637181409,4.306846576711644,3.8660669665167418
YAL021C,3.902048975512244,3.5882058970514743,3.36031984007996,4.367316341829086,3.1414292853573214,3.8865567216391805,3.7861069465267367,3.613193403298351,2.9005497251374313,4.504747626186907,3.952023988005997,3.8610694652673665
YAL022C,3.548225887056472,2.8115942028985508,2.4962518740629687,2.6881559220389803,2.5672163918040978,2.913543228385807,3.4717641179410297,2.653673163418291,2.9105447276361818,2.3098450774612695,3.182408795602199,2.3523238380809595
YAL023C,5.0744627686156925,3.874062968515742,5.097451274362818,4.3388305847076465,4.5967016491754125,4.305347326336832,6.153423288355822,5.157421289355322,4.255872063968016,4.264867566216892,4.11944027986007,4.708145927036481
YAL024C,2.1694152923538232,1.8885557221389306,1.9100449775112445,2.0984507746126937,1.8300849575212395,1.7711144427786107,1.4837581209395303,2.1444277861069465,2.67816091954023,1.9240379810094952,2.0484757621189407,2.6176911544227885
YAL025C,3.235382308845577,4.015992003998001,3.473263368315842,3.812593703148426,3.5152423788105946,3.685657171414293,4.465267366316842,3.924537731134433,4.099950024987506,3.7551224387806097,3.2458770614692654,3.5677161419290355
YAL026C,4.651674162918541,3.151424287856072,3.5372313843078462,3.28535732133933,3.5397301349325336,3.2263868065967016,4.354822588705647,4.372813593203398,4.108445777111444,3.9160419790104948,4.349825087456272,4.374312843578211
YAL027W,1.3928035982008995,1.6391804097951024,1.6926536731634183,1.4032983508245878,1.5387306346826586,1.0854572713643178,1.5742128935532234,1.9525237381309346,2.032983508245877,1.3318340829585207,1.897551224387806,1.8195902048975512
YAL028W,1.6051974012993504,1.3563218390804597,2.1539230384807597,1.447776111944028,1.174912543728136,0.9700149925037481,2.0104947526236883,1.5422288855572215,1.5697151424287856,1.7421289355322338,1.7071464267866068,1.6691654172913544
YAL029C,1.8220889555222388,1.6806596701649175,1.8670664667666166,1.6521739130434783,1.6746626686656672,1.7276361819090456,2.267366316841579,1.8500749625187407,2.1924037981009494,1.6906546726636682,1.9935032483758122,1.775112443778111
YAL030W,3.286856571714143,2.2988505747126435,2.450274862568716,2.1669165417291354,1.8780609695152424,1.424287856071964,1.5912043978010995,2.52223888055972,1.9620189905047476,2.651174412793603,2.926536731634183,1.9090454772613694
YAL031C,3.0559720139930033,2.0934532733633184,2.6371814092953523,2.7436281859070464,1.7221389305347325,2.4027986006996502,2.3758120939530234,2.3993003498250873,2.0374812593703147,1.6211894052973512,1.8985507246376812,2.9675162418790606
YAL032C,3.2648675662168913,2.6681659170414793,2.60519740129935,2.630684657671164,2.447776111944028,2.1794102948525738,2.8285857071464267,2.5432283858070965,2.3803098450774614,3.2863568215892056,3.2023988005997,2.9995002498750623
YAL033W,3.3543228385807096,2.3468265867066465,3.2268865567216394,3.438280859570215,3.2233883058470765,3.1379310344827585,3.4557721139430284,3.457271364317841,2.3483258370814593,3.2168915542228884,3.2873563218390807,3.505247376311844
YAL034W-A,2.44327836081959,2.0104947526236883,2.2798600699650176,2.1679160419790104,2.1729135432283857,2.613193403298351,3.1724137931034484,3.213393303348326,3.1209395302348826,3.258870564717641,2.413793103448276,2.4047976011994003
YAL035W,4.681159420289855,4.923538230884557,5.308845577211394,5.915542228885557,4.448775612193903,4.419290354822588,6.073963018490755,6.302848575712144,5.028985507246377,5.130934532733633,5.095452273863068,4.879060469765117
YAL036C,5.619690154922539,5.014992503748126,4.501749125437281,4.908545727136432,5.407296351824088,4.033483258370815,6.40679660169915,4.607696151924038,4.968015992003998,5.582708645677162,5.2478760619690155,4.372813593203398
YAL038W,17.304347826086957,20.727136431784107,22.484257871064468,12.504747626186907,17.762118940529735,15.667666166916542,12.861069465267366,12.004497751124438,9.677161419290355,10.198900549725137,9.915542228885558,9.440779610194902
YAL039C,5.280859570214893,4.695152423788106,6.654672663668166,3.4662668665667167,3.265367316341829,3.4782608695652173,4.750124937531234,4.619690154922539,3.266366816591704,4.746126936531734,5.313343328335832,5.100449775112444
YAL040C,6.246876561719141,7.379810094952524,7.821589205397301,4.993503248375812,5.257871064467766,5.053973013493254,7.126436781609195,6.141929035482259,5.019990004997501,5.706146926536731,6.713643178410795,5.978510744627686
YAL041W,8.489255372313844,7.493253373313343,8.436781609195402,8.180909545227387,7.57071464267866,8.825087456271865,8.545227386306847,9.082458770614693,6.324337831084458,8.753623188405797,7.758120939530235,7.515742128935532
YAL042W,3.8270864567716143,4.235882058970515,4.086456771614193,3.5227386306846578,3.022488755622189,2.4052973513243376,4.19640179910045,3.6646676661669164,3.8825587206396803,4.124937531234383,4.700649675162419,3.8340829585207397
YAL043C,5.259370314842578,4.082458770614693,3.739130434782609,3.4782608695652173,3.782608695652174,3.2738630684657672,5.367316341829086,5.177411294352823,4.436281859070465,5.203398300849575,4.769615192403798,4.552723638180909
YAL044C,5.364817591204398,4.548225887056471,4.681659170414792,3.872063968015992,3.5102448775612194,3.8905547226386807,4.32583708145927,4.398300849575213,4.695652173913044,4.79160419790105,4.541729135432284,5.020489755122439
YAL044W-A,4.8675662168915546,4.647176411794103,5.154922538730634,4.660169915042479,4.378310844577711,3.7006496751624187,4.039480259870065,4.192903548225887,3.622688655672164,4.851074462768616,4.989505247376312,5.222888555722139
