,c1,c2,c3,c4,c5,c6,t1,t2,t3,t4,t5,t6
YAL001C,1.8925537231384308,2.2838580709645178,1.8585707146426786,1.5702148925537232,1.4017991004497752,1.2038980509745127,1.5862068965517242,1.8440779610194902,1.6156921539230384,1.6806596701649175,1.7176411794102948,1.655672163918041
YAL002W,1.8600699650174912,1.9385307346326837,1.6336831584207896,1.9025487256371814,2.837081459270365,2.6176911544227885,3.1484257871064467,2.7436281859070464,3.3583208395802098,2.892053973013493,2.9355322338830585,2.347326336831584
YAL003W,16.952523738130935,14.768115942028986,17.06096951524238,22.06096951524238,14.936531734132933,15.90704647676162,6.769115442278861,6.642178910544728,9.04447776111944,9.225387306346827,8.488755622188906,8.448275862068966
YAL005C,1.3813093453273364,1.584207896051974,2.132433783108446,2.338830584707646,1.618190904547726,1.893553223388306,2.0899550224887555,2.811094452773613,2.614192903548226,2.186906546726637,2.457271364317841,3.4127936031984007
YAL007C,1.9120439780109946,2.660669665167416,2.628185907046477,3.0354822588705646,1.673663168415792,1.841079460269865,2.821089455272364,2.8490754622688654,2.5572213893053473,2.389305347326337,2.3573213393303347,2.649175412293853
YAL008W,1.9155422288855573,1.3623188405797102,1.4917541229385307,1.6666666666666667,1.6616691654172913,1.3898050974512743,1.685657171414293,2.209895052473763,1.6316841579210395,1.968015992003998,1.8435782108945526,1.8120939530234883
YAL009W,2.1094452773613193,2.550724637681159,2.204897551224388,2.529735132433783,2.2283858070964517,2.4002998500749624,2.555722138930535,3.8330834582708646,3.36231884057971,2.891054472763618,2.420789605197401,2.0164917541229386
YAL010C,1.447776111944028,1.4492753623188406,1.7076461769115443,2.0379810094952524,1.762118940529735,1.6701649175412294,1.6371814092953523,1.4452773613193404,1.6246876561719141,2.2238880559720138,2.0674662668665666,1.6766616691654173
YAL011W,3.241879060469765,4.040979510244878,3.6166916541729135,3.267366316841579,3.2958520739630184,3.022488755622189,4.3143428285857075,4.621689155422289,4.971514242878561,3.6216891554222888,4.503248375812094,4.511744127936032
YAL012W,6.399800099950025,6.659670164917541,6.9720139930034986,8.322838580709645,7.865067466266867,5.397301349325337,5.453273363318341,5.063968015992004,5.9255372313843075,8.644677661169416,8.434282858570715,9.423788105947027
YAL013W,4.982008995502249,5.248875562218891,5.194902548725637,4.553723138430785,3.2928535732133932,3.629185407296352,3.832583708145927,4.293853073463269,3.6796601699150426,6.857071464267866,5.188905547226387,6.021989005497251
YAL014C,3.502248875562219,3.966016991504248,3.5827086456771613,3.0909545227386306,3.106946526736632,3.027486256871564,3.028485757121439,3.392303848075962,3.470264867566217,3.4717641179410297,4.1744127936031985,4.308345827086457
YAL016W,6.034982508745627,6.446776611694153,6.216891554222888,5.606196901549225,5.022488755622189,5.390304847576212,4.646676661669165,4.983508245877061,5.051474262868566,5.737631184407796,4.860569715142429,6.771614192903548
YAL017W,1.7136431784107946,1.3883058470764618,2.3738130934532733,2.2543728135932035,1.2518740629685157,1.88055972013993,1.9400299850074962,1.829585207396302,2.622688655672164,1.8090954522738631,1.4827586206896552,2.3193403298350823
YAL019W,3.7406296851574212,3.711144427786107,4.017991004497751,3.0934532733633184,4.500749625187407,3.8375812093953026,3.5992003998001,3.6411794102948525,3.549225387306347,2.9325337331334334,3.7161419290354822,4.066966516741629
YAL020C,4.510244877561219,4.712143928035982,3.6516741629185407,4.84207896051974,3.316841579210395,3.9835082458770614,3.1389305347326335,4.168915542228886,3.76511744127936,4.321339330334832,4.2633683158420785,4.623688155922039
YAL021C,4.705647176411794,5.460769615192404,4.607696151924038,5.192403798100949,3.7241379310344827,4.093453273363318,3.810094952523738,4.907046476761619,3.5657171414292854,4.167416291854073,4.229385307346327,4.337331334332833
YAL022C,3.5392303848075963,3.024487756121939,3.000999500249875,3.760119940029985,2.623688155922039,2.602198900549725,2.5647176411794104,2.844577711144428,3.3278360819590205,3.1774112943528237,3.717641179410295,3.8235882058970514
YAL023C,4.860569715142429,5.867066466766617,6.249375312343828,6.287856071964018,5.417791104447776,4.659170414792603,5.392303848075962,4.2063968015992,4.343828085957021,5.828085957021489,6.5187406296851576,5.427286356821589
YAL024C,1.3748125937031483,1.7326336831584208,1.9560219890054973,2.157421289355322,2.0149925037481258,1.4877561219390305,1.68015992003998,1.8855572213893053,1.5082458770614693,1.5232383808095953,1.6421789105447275,1.7716141929035483
YAL025C,5.484757621189405,5.780109945027486,5.764617691154423,5.415292353823088,5.291354322838581,6.419290354822588,2.9635182408795604,3.2583708145927037,4.200899550224888,6.017491254372813,5.259370314842578,5.405797101449275
YAL026C,3.472263868065967,4.819090454772613,4.120439780109945,3.970014992503748,3.5017491254372812,2.9395302348825587,3.8085957021489256,4.283858070964517,3.026486756621689,4.055472263868066,3.945527236381809,4.053473263368316
YAL027W,1.185407296351824,2.110944527736132,1.5167416291854072,1.0724637681159421,1.4012993503248377,1.3088455772113943,1.622688655672164,1.7566216891554223,1.8280859570214893,1.4372813593203397,1.5272363818090955,1.8470764617691156
YAL028W,1.3158420789605196,1.3248375812093953,1.5207396301849077,1.7041479260369816,1.1544227886056972,1.3233383308345827,1.6201899050474762,2.1894052973513243,1.5742128935532234,1.9715142428785608,2.205897051474263,1.6791604197901049
YAL029C,1.3068465767116442,1.5002498750624689,1.1009495252373813,1.3378310844577712,1.105447276361819,1.1614192903548226,1.504247876061969,1.8760619690154923,2.018990504747626,1.2548725637181408,1.1229385307346327,1.5157421289355322
YAL030W,2.0914542728635683,2.232383808095952,1.7046476761619191,1.9545227386306847,1.9900049975012495,2.6456771614192904,2.8905547226386807,2.284357821089455,2.401799100449775,2.2573713143428287,2.3573213393303347,2.7436281859070464
YAL031C,2.6441779110444776,2.893053473263368,2.92303848075962,3.2478760619690155,2.2448775612193903,2.424287856071964,2.4822588705647175,2.6451774112943527,2.385807096451774,3.1124437781109444,3.445777111444278,3.401799100449775
YAL032C,2.305847076461769,2.466766616691654,3.3873063468265867,3.297351324337831,2.2978510744627685,3.051474262868566,2.418790604697651,3.1164417791104446,2.3788105947026486,3.337831084457771,1.9575212393803099,2.628185907046477
YAL033W,2.8245877061469264,2.918040979510245,3.3983008495752123,2.5962018990504747,2.638680659670165,2.6476761619190405,3.259870064967516,4.251374312843578,2.8735632183908044,2.6931534232883556,2.286856571714143,2.3748125937031483
YAL034W-A,1.553223388305847,1.8190904547726137,2.08095952023988,1.4442778610694653,2.3283358320839582,2.261869065467266,2.107446276861569,2.510744627686157,2.6401799100449774,2.0389805097451275,2.132433783108446,1.8500749625187407
YAL035W,6.968515742128935,6.7876061969015495,7.831584207896052,7.635182408795602,5.697151424287856,5.326336831584208,6.549725137431285,6.692653673163418,6.783108445777112,7.450274862568715,7.557721139430285,8.632683658170915
YAL036C,4.133433283358321,5.906546726636682,5.617191404297851,6.215892053973014,3.7041479260369816,4.2433783108445775,4.7876061969015495,4.984007996001999,5.963018490754623,5.5677161419290355,4.2923538230884555,5.867066466766617
YAL038W,40.15942028985507,38.328835582208896,41.11294352823588,52.435782108945524,37.13893053473264,35.25187406296852,31.841079460269864,32.14292853573213,38.62068965517241,21.967016491754123,19.675162418790606,25.731634182908547
YAL039C,3.318840579710145,3.5912043978010995,4.1544227886056975,3.8565717141429285,3.6691654172913544,4.500249875062469,4.464267866066966,4.147926036981509,4.832583708145927,4.302348825587206,4.67416291854073,5.27136431784108
YAL040C,3.8150924537731132,3.48175912043978,3.2083958020989507,3.289855072463768,3.2773613193403297,3.2928535732133932,7.416291854072964,7.077461269365317,8.13143428285857,3.6186906546726636,3.7506246876561717,3.6271864067966018
YAL041W,3.891554222888556,3.5027486256871563,4.773113443278361,4.459270364817591,4.411794102948526,3.5972013993003498,8.987006496751624,9.433283358320839,6.116441779110445,5.9960019990005,5.201899050474762,4.591204397801099
YAL042W,5.857571214392804,7.042978510744628,6.320839580209895,6.256371814092954,5.727136431784108,5.4122938530734634,4.249875062468766,4.331834082958521,4.248875562218891,6.574212893553224,5.856071964017991,6.914542728635682
YAL043C,3.792103948025987,3.8970514742628684,5.028985507246377,4.806596701649175,3.730134932533733,4.7076461769115445,3.521239380309845,3.6986506746626686,4.490754622688656,4.158420789605198,5.303848075962019,5.669165417291354
YAL044C,6.059970014992504,6.651674162918541,5.782108945527236,6.918540729635183,5.497751124437781,5.074962518740629,3.2433783108445775,3.823088455772114,3.110944527736132,6.053973013493254,5.248375812093953,5.964517741129435
