,c1,c2,c3,t1,t2,t3,t4
YAL001C,3.666166916541729,5.182408795602199,4.060469765117441,3.266366816591704,3.266366816591704,4.929535232383808,4.658170914542729
YAL002W,9.498750624687656,13.292853573213394,12.018990504747626,10.616191904047977,4.862068965517241,5.402298850574713,8.369315342328836
YAL003W,33.31234382808596,41.11994002998501,45.201899050474765,18.529235382308844,22.262368815592204,25.38430784607696,24.04247876061969
YAL005C,3.1969015492253874,6.390804597701149,3.234382808595702,3.4837581209395303,4.458770614692654,5.165417291354323,4.05247376311844
YAL007C,4.842578710644678,4.811094452773613,3.4057971014492754,4.217391304347826,4.910544727636182,5.373313343328336,4.804597701149425
YAL008W,3.002998500749625,4.160919540229885,2.2778610694652675,3.385807096451774,3.290354822588706,4.611694152923538,3.992503748125937
YAL009W,3.7586206896551726,5.477261369315342,3.575712143928036,4.243878060969515,5.081959020489755,6.240379810094953,4.367316341829086
YAL010C,2.531734132933533,3.521239380309845,2.6721639180409795,2.8525737131434283,4.178410794602699,4.399800099950025,3.846576711644178
YAL011W,4.375312343828086,7.219890054972514,4.119940029985007,3.385807096451774,6.24287856071964,7.335332333833083,4.088455772113943
YAL012W,7.767616191904048,11.600199900049976,8.037981009495253,6.901049475262369,10.430784607696152,6.531734132933534,6.013493253373313
YAL013W,6.26936531734133,6.946526736631684,5.662168915542229,3.2518740629685157,7.047976011994003,6.1144427786106945,5.178410794602699
YAL014C,6.106946526736632,6.111944027986007,6.67616191904048,4.739130434782608,6.670164917541229,7.52623688155922,4.7256371814092955
YAL016W,8.16791604197901,7.893053473263368,8.03848075962019,5.72263868065967,7.689655172413793,8.872063968015992,7.044977511244378
YAL017W,2.6671664167916043,4.916041979010495,2.468765617191404,2.568215892053973,4.514742628685657,4.5542228885557225,3.682658670664668
YAL019W,4.9545227386306845,7.837581209395302,4.164417791104448,3.911544227886057,7.010494752623688,6.7166416791604195,4.077961019490255
YAL020C,5.51424287856072,6.642678660669665,2.422288855572214,1.7551224387806097,6.2343828085957025,6.723138430784608,2.7806096951524237
YAL021C,8.384807596201899,7.544227886056971,5.055972013993004,3.5687156421789106,7.000499750124938,8.212893553223388,3.6431784107946026
YAL022C,4.066466766616692,5.229385307346327,4.551224387806097,3.7981009495252374,4.798100949525238,6.4477761119440276,5.829585207396302
YAL023C,6.728135932033983,10.966516741629185,5.339830084957521,5.020489755122439,8.188905547226387,8.650674662668665,5.039980009995002
YAL024C,2.1669165417291354,3.926536731634183,1.8950524737631185,2.585207396301849,3.5112443778110944,3.535232383808096,3.7136431784107944
YAL025C,8.783108445777112,11.146926536731634,11.63968015992004,5.808095952023988,7.496251874062969,10.274862568715642,7.852573713143428
YAL026C,5.04847576211894,7.542728635682159,4.185907046476761,4.904547726136932,7.735132433783108,7.367816091954023,6.535232383808096
YAL027W,3.2553723138430786,3.6411794102948525,2.968015992003998,2.4082958520739632,3.187406296851574,3.9085457271364317,4.200899550224888
YAL028W,2.36031984007996,3.5162418790604697,1.7991004497751124,2.4337831084457773,2.546726636681659,4.669665167416292,2.542728635682159
YAL029C,4.3478260869565215,5.383808095952024,4.609195402298851,3.3878060969515245,4.582708645677162,5.6856571714142925,5.019990004997501
YAL030W,2.632183908045977,4.757621189405297,2.265367316341829,3.581209395302349,4.361319340329835,4.3388305847076465,3.7916041979010493
YAL031C,4.133933033483259,5.513743128435782,3.787106446776612,4.39880059970015,5.212893553223388,5.877061469265367,4.349325337331335
YAL032C,4.039980009995002,4.691154422788606,3.188905547226387,3.131434282858571,5.636181909045478,5.071464267866067,3.8865567216391805
YAL033W,4.284357821089455,5.4677661169415295,3.837081459270365,5.210894552723638,4.950524737631184,6.294352823588206,4.180909545227387
YAL034W-A,3.1694152923538232,5.509745127436282,2.1794102948525738,3.0964517741129436,3.7606196901549227,4.069465267366317,3.3258370814592704
YAL035W,11.855572213893053,13.11744127936032,12.760619690154922,7.380809595202399,12.23688155922039,10.643178410794603,10.247876061969016
YAL036C,11.242378810594703,11.606196901549225,8.486756621689155,5.415792103948026,11.293853073463268,10.638180909545227,6.252373813093453
YAL038W,112.83358320839581,47.16991504247876,118.7311344327836,39.16541729135432,31.948025987006496,27.03848075962019,21.345827086456772
YAL039C,5.63768115942029,7.784607696151924,3.4772613693153422,2.2713643178410794,6.097451274362818,6.235382308845577,2.997001499250375
YAL040C,15.689155422288856,15.057471264367816,13.450774612693653,10.065967016491754,15.385807096451774,8.113943028485757,6.215392303848076
YAL041W,11.671164417791104,12.14142928535732,12.402298850574713,10.65167416291854,11.11544227886057,11.810594702648675,8.9960019990005
YAL042W,6.308845577211394,9.241879060469765,5.035982008995502,3.821089455272364,9.864567716141929,9.039480259870064,4.27136431784108
YAL043C,4.940029985007496,7.647176411794103,5.586706646676662,5.002998500749626,7.761619190404797,8.22288855572214,5.682658670664668
YAL044C,4.577211394302848,7.739630184907546,3.905047476261869,3.51824087956022,5.784607696151924,6.586206896551724,3.7561219390304847
YAL044W-A,4.5077461269365315,8.567216391804099,3.7071464267866068,4.2723638180909544,5.657171414292853,6.2923538230884555,5.287856071964018
YAL046C,4.931034482758621,6.477261369315342,3.7506246876561717,4.16591704147926,5.976511744127936,7.781609195402299,4.923538230884557
YAL048C,3.813593203398301,2.728135932033983,2.7256371814092955,2.9270364817591203,3.4707646176911546,4.509245377311344,3.350824587706147
YAL049C,3.5407296351824087,4.731634182908546,3.649175412293853,3.1539230384807597,3.9090454772613694,6.219390304847576,4.071964017991005
YAL053W,3.715642178910545,5.765117441279361,3.2863568215892056,4.007996001999,3.9290354822588704,4.404297851074463,3.7606196901549227
YAL055W,3.4127936031984007,6.308845577211394,2.451274362818591,4.604197901049475,5.703148425787107,6.073463268365817,5.192403798100949
YAL056W,4.123938030984508,4.711144427786107,4.767116441779111,3.5207396301849077,5.1254372813593205,5.611694152923538,4.9745127436281855
YAL058W,4.230884557721139,5.373813093453274,4.818590704647677,5.011994002998501,3.707646176911544,5.900049975012494,6.00599700149925
YAL059W,7.232883558220889,13.272363818090955,9.68015992003998,8.8095952023988,9.860569715142429,10.1904047976012,10.488255872063968
YAL060W,4.780109945027486,6.860069965017491,4.063968015992004,4.1544227886056975,4.691154422788606,6.693153423288356,3.450274862568716
YAL061W,1.68215892053973,4.933533233383308,2.0294852573713142,2.015992003998001,3.163418290854573,4.216891554222888,2.5907046476761617
YAL062W,5.268365817091454,7.104447776111944,8.570714642678661,2.9185407296351826,2.785607196401799,3.923538230884558,2.9060469765117443
YAL063C,1.5687156421789106,2.1964017991004496,0.9620189905047476,1.9560219890054973,2.0344827586206895,3.548225887056472,2.112943528235882
YAL067C,1.2188905547226387,2.3023488255872064,1.3233383308345827,1.6751624187906047,1.5302348825587206,3.2168915542228884,2.6761619190404797
YAR002C-A,5.7411294352823585,5.8165917041479265,5.887556221889056,3.754622688655672,7.172913543228386,5.911544227886057,4.786106946526736
YAR002W,5.241879060469765,6.043478260869565,4.895052473763118,3.627686156921539,4.646176911544228,5.211894052973514,4.436281859070465
YAR003W,3.844577711144428,4.639180409795102,2.9495252373813092,3.2053973013493255,3.8505747126436782,4.918540729635183,3.9385307346326837
YAR007C,2.905047476261869,3.373313343328336,2.1714142928535733,2.615192403798101,3.941529235382309,3.998500749625187,3.6381809095452273
YAR008W,2.0814592703648174,4.593703148425787,1.577711144427786,2.359320339830085,2.5827086456771613,4.262868565717142,3.025987006496752
YAR014C,6.484757621189405,10.610694652673663,5.752623688155922,7.3633183408295855,9.521739130434783,6.934032983508246,7.9990004997501245
YAR015W,4.3098450774612695,6.53023488255872,6.875562218890555,3.928535732133933,4.94952523738131,7.087956021989005,5.009495252373813
YAR018C,2.3203398300849574,4.327336331834083,3.104447776111944,2.2038980509745127,3.4072963518240877,4.858570714642679,3.6981509245377313
YAR027W,3.428785607196402,4.5257371314342825,3.651174412793603,3.5942028985507246,4.339330334832583,4.722138930534733,3.974012993503248
YAR028W,4.318340829585208,4.169415292353823,4.938030984507746,3.711144427786107,4.210894552723638,6.411294352823588,4.569215392303848
YAR031W,1.4297851074462768,2.9300349825087455,1.6896551724137931,2.55672163918041,2.2028985507246377,4.37031484257871,3.5847076461769114
YAR033W,3.63768115942029,3.7221389305347325,2.7266366816591705,4.057471264367816,4.106446776611694,3.790104947526237,3.9395302348825587
YAR042W,6.560219890054973,6.848575712143928,4.662168915542229,2.672663668165917,5.193403298350825,6.390804597701149,2.9940029985007497
YAR066W,3.3083458270864567,5.2098950524737635,2.3808095952023987,1.9245377311344327,3.894052973513243,4.774612693653173,3.2818590704647677
YAR071W,9.052973513243378,13.497251374312844,12.853073463268366,3.7461269365317342,5.096451774112944,6.604697651174413,5.499250374812593
YBL001C,12.699650174912543,18.849075462268864,14.230384807596202,15.624687656171915,10.914542728635682,9.782108945527236,11.690154922538731
