"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YKR042W",-1.82531158120616,10.8462550497475,-18.6300629574221,3.11392005351801e-14,3.11392005351801e-11,22.5800957281168
"YOL109W",-1.27497901500893,11.2266933550158,-17.7031335120385,8.28174803904162e-14,4.14087401952081e-11,21.6869665580345
"YEL040W",-1.11937726463949,9.68225973956324,-13.039742392766,2.52259372457006e-11,6.65605841146126e-09,16.1399390643552
"YLR300W",-1.42047738789533,10.0721741077989,-13.0011849895763,2.6624233645845e-11,6.65605841146126e-09,16.0920523061792
"YHR094C",-0.821736726220905,11.0091541046972,-11.4678696771918,2.53693147694651e-10,5.07386295389302e-08,13.8643668293352
"YGR234W",-1.0997766872601,9.5239342604767,-11.0660535705162,4.75552057705439e-10,5.48251659105721e-08,13.2564371336949
"YMR122W-A",-1.45117720116638,10.6975848510456,-11.0648794746691,4.76437612229383e-10,5.48251659105721e-08,13.2421282783225
"YGL008C",-1.06031909571314,11.215933473765,-11.0627462433594,4.78050987182342e-10,5.48251659105721e-08,13.2366426521324
"YHR018C",0.897920805751714,10.3701419679913,11.0427849238953,4.93426493195149e-10,5.48251659105721e-08,13.1925825793395
"YHR215W",-0.826291886570728,9.63632739611107,-10.5361184125556,1.11777800342137e-09,1.11777800342137e-07,12.4072688296088
"YDL055C",-0.661697941813201,10.84595630175,-9.85686606112461,3.49802694358012e-09,3.18002449416374e-07,11.2328041393095
"YHR216W",-0.738941508962379,10.3117830550769,-9.58725062319627,5.58370829963528e-09,4.62490215072856e-07,10.7667822603682
"YDL037C",-1.1173148286741,8.78522394022371,-9.54505919443563,6.01237279594713e-09,4.62490215072856e-07,10.7606335277766
"YJL048C",0.798742916413519,10.6230658181418,9.24510366786953,1.02358915489311e-08,7.31135110637939e-07,10.1423117242737
"YEL071W",-0.682986703690665,11.8884836234841,-8.91060373306497,1.87719654252289e-08,1.25146436168193e-06,9.58459332515663
"YBR158W",-0.729291212391198,10.4782185267211,-8.75235010469576,2.51334148602781e-08,1.57083842876738e-06,9.24669825882405
"YNL327W",-1.0359660727005,9.89943940944589,-8.59474740453771,3.37174289813898e-08,1.98337817537587e-06,8.99537407991588
"YOR315W",-0.935130155110397,9.16127670101567,-8.53847479671505,3.74759346176857e-08,2.08199636764921e-06,8.93290262228562
"YMR307W",-0.630286297279882,10.2092368407796,-8.47926748163737,4.19021807222263e-08,2.20537793274875e-06,8.73707574775942
"YLR304C",-1.6664879778732,9.04756028512015,-8.40986302732253,4.77884866598998e-08,2.35646689143227e-06,8.69198371419485
"YNL037C",-1.4395607153412,9.83861795116542,-8.39149065301212,4.94858047200776e-08,2.35646689143227e-06,8.62805687716351
"YJL133C-A",-1.28399970869028,9.6479441014781,-8.35310178760522,5.32370079591773e-08,2.41986399814442e-06,8.55805682247228
"YPL144W",0.733726723933057,10.1237086718544,8.27953630947332,6.12715311409851e-08,2.66397961482544e-06,8.34450235198621
"YGL035C",0.762175605675941,9.23721961705592,8.16610191711627,7.62067267375237e-08,3.17528028073016e-06,8.22130625572376
"YGL098W",0.679434839676113,10.107563367872,8.06497573298833,9.26982170076966e-08,3.70792868030787e-06,7.92580324640212
"YBR256C",0.754026405275462,8.9743001189646,7.97654374464773,1.10141985777423e-07,4.23623022220857e-06,7.87623049701274
"YKL080W",0.876482065648295,8.97342389542955,7.73717020610613,1.76571490527119e-07,6.08867208714203e-06,7.40537750111268
"YAR071W",-0.820005360140291,9.24462537003373,-7.74470996511343,1.7394571097889e-07,6.08867208714203e-06,7.39356855336075
