,c1,c2,c3,c4,c7,c8,t1,t2,t3,t6,t7,t8
YAL001C,1.1639180409795102,1.68215892053973,1.793103448275862,1.6701649175412294,1.9950024987506247,1.4727636181909045,1.1519240379810094,1.3203398300849576,1.2838580709645178,1.5562218890554722,1.3298350824587706,1.658670664667666
YAL002W,8.011494252873563,7.649675162418791,5.798600699650175,6.9900049975012495,5.83608195902049,6.678660669665168,8.19240379810095,10.16191904047976,9.32583708145927,9.700649675162419,8.002498750624687,4.213893053473264
YAL003W,15.80359820089955,20.36231884057971,20.748625687156423,19.88905547226387,19.654172913543228,21.48975512243878,17.8335832083958,20.077961019490253,13.43728135932034,19.84657671164418,16.976011994003,16.43528235882059
YAL005C,1.9880059970014992,1.824087956021989,1.9705147426286858,1.432783608195902,2.4907546226886557,1.9895052473763117,2.1529235382308847,2.295352323838081,2.1904047976011993,2.8415792103948028,2.0919540229885056,2.9355322338830585
YAL007C,1.5462268865567217,1.8345827086456772,2.0484757621189407,2.0689655172413794,2.969015492253873,2.9280359820089954,2.2283858070964517,2.8725637181409294,2.1379310344827585,3.4022988505747125,1.9400299850074962,2.968015992003998
YAL008W,1.790104947526237,1.6636681659170416,1.5177411294352823,1.2828585707146427,2.1794102948525738,1.7061469265367317,1.447776111944028,1.4772613693153422,1.6656671664167917,1.960519740129935,1.2568715642178911,1.498750624687656
YAL009W,1.869065467266367,1.5322338830584707,1.8280859570214893,2.5157421289355324,2.2758620689655173,2.0684657671164417,2.376311844077961,2.764117941029485,1.8280859570214893,2.5367316341829085,2.36631684157921,2.348825587206397
YAL010C,1.1814092953523239,1.5232383808095953,1.4772613693153422,1.5307346326836582,1.983008495752124,1.9600199900049975,1.7836081959020489,1.510744627686157,1.2893553223388305,1.6616691654172913,1.7246376811594204,1.2978510744627687
YAL011W,6.236381809095453,3.4002998500749624,4.751624187906047,3.661169415292354,4.932033983008496,6.024487756121939,4.383808095952024,5.901549225387306,6.085957021489255,6.544727636181909,5.294852573713143,4.737631184407796
YAL012W,6.057471264367816,7.098950524737631,5.638680659670165,5.79560219890055,9.043478260869565,7.231384307846077,7.742128935532234,9.125937031484257,5.920539730134933,8.172413793103448,8.000499750124938,8.579710144927537
