"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YOL086C",-1.60764316841075,11.2609870603632,-17.4699435546753,2.55324762737282e-13,1.32896539004755e-09,19.9258909638923
"YGR035C",-1.28580135217728,8.07733741857045,-11.9133323061537,2.29999405555377e-10,5.98573452957867e-07,13.652404239215
"YGR234W",-1.41995174994552,8.0818580214357,-11.322158843079,5.47841925216371e-10,9.50505740250403e-07,12.8731065648069
"YJR009C",-0.887989499064845,10.5241483665827,-10.449558570047,2.10301311460993e-09,2.73654581538617e-06,11.7561189910062
"YAL003W",-1.06344254490493,9.39693103500315,-9.98035532160496,4.48341998109145e-09,4.6672402003162e-06,11.0135252599487
"YIL154C",0.7841855049662,9.51416759046439,9.53037705425631,9.486542576529e-09,8.22957568513891e-06,10.3050622805462
"YPL163C",-1.14487126784815,7.16509469046034,-9.03627729855412,2.22095585110109e-08,1.65143931499731e-05,9.36198679077585
"YDR011W",-1.23685192068957,7.4032630661447,-8.84552090325839,3.10916128715645e-08,2.02289806245616e-05,9.07827289133916
"YIL123W",-0.926119997897614,7.04871625431277,-8.59784507977897,4.84512225643225e-08,2.80209570496999e-05,8.63815486403879
"YMR122W-A",-1.00709396121349,10.0621647811442,-8.25445502380202,9.0795118741868e-08,4.72588593051423e-05,8.14047269139219
"YHR174W",-0.857013606095658,11.3290495731908,-8.15289354777189,1.09650083426171e-07,5.18844258393837e-05,7.95727063590247
"YEL034W",-0.908027228327615,9.7255282865965,-8.02904593748911,1.38271887880631e-07,5.5361936647591e-05,7.73246691076634
"YDR033W",-1.41073008042143,7.19260802463639,-8.0445580813736,1.34298072573414e-07,5.5361936647591e-05,7.69156651857626
"YCR065W",-0.770282881858067,8.10652800505627,-7.68518270423513,2.66090092423786e-07,9.69556850344497e-05,7.09139878937289
"YMR116C",-0.704834507608747,9.6979975447022,-7.65985043481006,2.79411196064697e-07,9.69556850344497e-05,7.04983657339349
"YLR333C",-0.777467377971386,8.20057950360406,-7.57892295560056,3.26790240516467e-07,0.000106308950118013,6.89561290223721
"YEL040W",-0.698792001804873,9.0203623191861,-7.49266812300015,3.86539113923481e-07,0.000118349181645395,6.73610944995955
"YGL008C",-1.03623584775753,9.3993566715647,-7.41725440993796,4.48031795079365e-07,0.000129555860743783,6.59150061129311
"YFR053C",1.29370990239212,6.76392556848465,7.35420914724149,5.07182780654121e-07,0.000138941388068668,6.42087187459445
"YLR048W",-0.927928841165869,9.09201011659007,-7.28740456586337,5.78743138831629e-07,0.000140346248089555,6.3444248523025
"YDR055W",-0.838228956960053,7.71967677067735,-7.27360290490485,5.94786273881273e-07,0.000140346248089555,6.3170678874395
"YPL187W",-0.628319626125171,11.5986164722704,-7.28211304355013,5.84840461462532e-07,0.000140346248089555,6.31634366887498
